"";"code_muni";"territorialidades";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"90";4217154;"sao miguel da boa vista";26,47;23,06;99,1;97,11;1;0;11,08;1201;0,74;11655,677568572;17,1;0,71;0,5;96,55;3570,65144957983;3,23529411764706;0,409663865546218;3,78939075630252
"91";4217204;"sao miguel do oeste";154,89;88,32;99,85;91,87;41;76;4,64;21700;3,87;24867,0993816316;9,7;0,801;0,5;99,17;1319,60692695422;12,3089021098441;6,38175508180466;0,799289373657247
"92";4217303;"saudades";43,86;56,82;100;87,78;3;34;4,42;5661;0,97;21126,3496295817;12,2;0,755;0,33;98,82;2181,45920474712;5,06732475598935;7,36767968056788;3,51685891748004
"93";4217501;"seara";54,19;68,41;99,85;88,3;18;45;5,2;10499;1,35;28010,8688027646;10,5;0,779;0,51;99,56;1743,8790706188;10,0964218233349;7,21061643835616;4,88704534718942
"94";4217550;"serra alta";36,32;55,86;99,75;95,42;1;0;6,14;1998;0,81;23665,5478385823;10,1;0,773;0,41;97,03;2668,72994520548;7,71111111111111;7,10076103500761;3,5013698630137
"95";4217758;"sul brasil";24,54;36,55;100;94,36;1;0;13,49;1600;0,65;25189,2000148515;13,7;0,707;0,45;94,79;2728,11557122198;6,2823571945047;8,8120028922632;4,63232104121475
"96";4217956;"tigrinhos";30,59;19,52;98,98;98,28;1;0;10,26;1018;1,96;10733,95936699;12,5;0,717;0,41;100;4112,11791121229;1,49231644849175;0,499715424018213;4,69778030734206
"97";4218509;"treze tilias";34,24;74,36;100;89,64;2;36;4,48;3597;1,99;31407,1152226816;10,4;0,795;0,62;99,45;2330,50640908374;12,6735530673395;8,65730957262261;2,78110708090207
"98";4218756;"tunapolis";34,86;30,61;99,68;95,85;3;38;3,89;2920;0,97;13094,6260953571;13,9;0,752;0,41;100;2278,78945391753;3,40297863155623;0,827757392618174;5,49514353550615
"99";4218855;"uniao do oeste";31,27;38,04;98,71;87,3;1;0;9,81;1543;2,57;24081,5545396843;14,5;0,705;0,37;98,73;3100,58006872852;6,85120274914089;6,47525773195876;5,47525773195876
"100";4219101;"vargeao";21,22;51,53;98,67;77,39;2;22;8,49;1756;3,23;47709,2782732742;14,2;0,686;0,45;100;2853,60694224236;17,5662514156285;16,1577010192525;4,67553793884485
"101";4219150;"vargem";8,02;31,91;99,25;81,13;1;0;13,86;998;1,83;11232,6360893967;17,5;0,629;0,5;99,22;2798,84771011396;1,93589743589744;0,989316239316239;4,84757834757835
"102";4219176;"vargem bonita";16,05;55,85;99,66;84,68;6;0;6,93;2307;3,76;47580,3365636599;16,5;0,718;0,43;96,27;2924,78780513249;7,15731274775715;28,8193198414354;4,64364698518673
"103";4219507;"xanxere";116,88;88,7;99,17;68,94;45;162;5,62;22532;3,08;21476,4409548512;11,3;0,775;0,48;98,54;1523,51839036439;10,6979468817984;6,02427030456853;1,69375453226976
"104";4219606;"xavantina";19,26;26,99;99,63;86,94;7;26;6,47;2728;0,32;21526,9857343872;11,4;0,749;0,47;100;2535,00173829068;4,93457267020763;1,44422984065669;12,1508932882665
"105";4219705;"xaxim";87,25;81,54;99,44;94,32;18;46;5,7;14171;2,46;21109,744000061;10,6;0,752;0,43;98,31;1913,74705985299;7,2851864815463;7,15739120289348;3,00108894333606
"106";4219853;"zortea";15,73;78,1;99,91;96,08;1;0;7,17;1792;1,88;11569,9871224336;9,6;0,761;0,42;99,58;3233,45900702106;3,01638248077566;0,873620862587763;4,36375794048813
